x,y
180.0,-0.31626573
181.0,0.033114284
182.0,0.4817104
183.0,0.79971606
184.0,0.8244102
185.0,0.54374945
186.0,0.102555126
187.0,-0.2718855
188.0,-0.38657618
189.0,-0.1819566
190.0,0.25832936
191.0,0.25418076
192.0,0.2514314
193.0,0.24971858
194.0,0.24877368
195.0,0.24839765
196.0,0.24844307
197.0,0.24880068
198.0,0.24938959
199.0,0.25014985
200.0,0.25103703
201.0,0.25201824
202.0,0.25306913
203.0,0.2541716
204.0,0.25531235
205.0,0.88125
206.0,0.72196543
207.0,0.32408017
208.0,-0.10736579
209.0,-0.35009232
210.0,-0.27876574
211.0,0.07061428
212.0,0.5192104
213.0,0.837216
214.0,0.86191016
215.0,0.5812495
216.0,0.1400551
217.0,-0.23438552
218.0,-0.34907618
219.0,-0.1444566
220.0,0.2958294
221.0,0.29168078
222.0,0.2889314
223.0,0.2872186
224.0,0.2862737
225.0,0.28589767
226.0,0.28594306
227.0,0.2863007
228.0,0.28688958
229.0,0.28764984
230.0,0.28853703
231.0,0.28951824
232.0,0.29056913
233.0,0.2916716
234.0,0.29281235
235.0,0.91875
236.0,0.75946546
237.0,0.36158016
238.0,-0.06986579
239.0,-0.31259233
240.0,-0.24126574
241.0,0.10811427
242.0,0.55671036
243.0,0.87471604
244.0,0.8994102
245.0,0.6187495
246.0,0.17755513
247.0,-0.1968855
248.0,-0.3115762
249.0,-0.1069566
250.0,0.33332938
251.0,0.32918078
252.0,0.3264314
253.0,0.3247186
254.0,0.32377368
255.0,0.32339767
256.0,0.32344306
257.0,0.32380068
258.0,0.32438958
259.0,0.32514983
260.0,0.32603702
261.0,0.32701823
262.0,0.32806912
263.0,0.3291716
264.0,0.33031234
265.0,0.95624995
266.0,0.7969655
267.0,0.39908016
268.0,-0.0323658
269.0,-0.2750923
270.0,-0.20376572
271.0,0.1456143
272.0,0.5942104
273.0,0.91221607
274.0,0.93691015
275.0,0.6562495
276.0,0.21505512
277.0,-0.1593855
278.0,-0.2740762
279.0,-0.06945661
280.0,0.37082937
281.0,0.36668077
282.0,0.3639314
283.0,0.3622186
284.0,0.36127368
285.0,0.36089766
286.0,0.36094305
287.0,0.36130068
288.0,0.36188957
289.0,0.36264983
290.0,0.363537
291.0,0.36451823
292.0,0.3655691
293.0,0.3666716
294.0,0.36781234
295.0,0.99375
296.0,0.8344655
297.0,0.43658018
298.0,0.005134225
299.0,-0.23759231
300.0,-0.16626573
